month,level,temp_standard,season,color_code
1월,1단계,-2.3,겨울,#0A2F5C
1월,2단계,-1.9,겨울,#135091
1월,3단계,-1.8,겨울,#1D70B8
1월,4단계,-1.7,겨울,#45A2DE
1월,5단계,-1.6,겨울,#70D1F7
1월,6단계,-1.5,겨울,#A3E5F7
1월,7단계,-1.4,겨울,#C2F2DB
1월,8단계,-1.4,겨울,#91E0B3
1월,9단계,-1.3,겨울,#56C786
1월,10단계,-1.3,겨울,#2AAB5D
1월,11단계,-1.3,겨울,#71C967
1월,12단계,-1.2,겨울,#A6E278
1월,13단계,-1.2,겨울,#DDF589
1월,14단계,-1.1,겨울,#FFF79A
1월,15단계,-1.1,겨울,#FFE473
2월,1단계,5.7,겨울,#0A2F5C
2월,2단계,6.5,겨울,#135091
2월,3단계,6.6,겨울,#1D70B8
2월,4단계,6.6,겨울,#45A2DE
2월,5단계,6.7,겨울,#70D1F7
2월,6단계,6.8,겨울,#A3E5F7
2월,7단계,6.8,겨울,#C2F2DB
2월,8단계,6.9,겨울,#91E0B3
2월,9단계,6.9,겨울,#56C786
2월,10단계,7,겨울,#2AAB5D
2월,11단계,7,겨울,#71C967
2월,12단계,7,겨울,#A6E278
2월,13단계,7,겨울,#DDF589
2월,14단계,7.01,겨울,#FFF79A
2월,15단계,7.1,겨울,#FFE473
3월,1단계,14.1,봄가을,#005A32
3월,2단계,14.9,봄가을,#238B45
3월,3단계,15.3,봄가을,#41AB5D
3월,4단계,15.3,봄가을,#74C476
3월,5단계,15.5,봄가을,#A1D99B
3월,6단계,15.5,봄가을,#C7E9C0
3월,7단계,15.6,봄가을,#E7F5B7
3월,8단계,15.6,봄가을,#FFEDA0
3월,9단계,15.7,봄가을,#FED976
3월,10단계,15.7,봄가을,#FEB24C
3월,11단계,15.7,봄가을,#FD8D3C
3월,12단계,15.8,봄가을,#FC4E2A
3월,13단계,15.8,봄가을,#E31A1C
3월,14단계,15.8,봄가을,#BD0026
3월,15단계,15.8,봄가을,#800026
4월,1단계,12.5,봄가을,#005A32
4월,2단계,13.1,봄가을,#238B45
4월,3단계,13.3,봄가을,#41AB5D
4월,4단계,13.4,봄가을,#74C476
4월,5단계,13.5,봄가을,#A1D99B
4월,6단계,13.5,봄가을,#C7E9C0
4월,7단계,13.5,봄가을,#E7F5B7
4월,8단계,13.6,봄가을,#FFEDA0
4월,9단계,13.6,봄가을,#FED976
